,site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,individual_id,phenophase_id,phenophase_description,first_yes_year,first_yes_month,first_yes_day,first_yes_doy,first_yes_julian_date,numdays_since_prior_no,last_yes_year,last_yes_month,last_yes_day,last_yes_doy,last_yes_julian_date,numdays_until_next_no
0,2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,9,483,Leaves,2011,5,12,132,2455694,15,2011,10,26,299,2455861,18
1,459,36.524502,-92.751999,234,MO,3,Acer,rubrum,red maple,Plantae,638,483,Leaves,2011,4,15,105,2455667,23,2011,4,21,111,2455673,179
2,1068,38.776115,-75.152031,4,DE,3,Acer,rubrum,red maple,Plantae,1255,483,Leaves,2011,10,15,288,2455850,212,2011,11,15,319,2455881,-9999
3,459,36.524502,-92.751999,234,MO,3,Acer,rubrum,red maple,Plantae,1274,483,Leaves,2011,4,15,105,2455667,23,2011,4,21,111,2455673,179
4,443,42.304653,-83.70118,276,MI,3,Acer,rubrum,red maple,Plantae,1977,483,Leaves,2011,5,8,128,2455690,2,2011,11,7,311,2455873,2
5,1385,38.845295,-77.329628,121,VA,3,Acer,rubrum,red maple,Plantae,2192,483,Leaves,2011,4,7,97,2455659,1,2011,11,11,315,2455877,-9999
6,1419,42.011166,-88.503304,280,IL,3,Acer,rubrum,red maple,Plantae,2321,483,Leaves,2011,5,7,127,2455689,3,2011,11,5,309,2455871,7
7,1461,42.283501,-83.771729,275,MI,3,Acer,rubrum,red maple,Plantae,2448,483,Leaves,2011,5,1,121,2455683,5,2011,11,5,309,2455871,4
8,1476,34.750793,-82.344971,252,SC,3,Acer,rubrum,red maple,Plantae,2517,483,Leaves,2011,4,17,107,2455669,-9999,2011,10,29,302,2455864,15
9,44,40.633945,-75.662949,620,PA,3,Acer,rubrum,red maple,Plantae,2594,483,Leaves,2011,4,24,114,2455676,3,2011,5,13,133,2455695,165
10,1597,48.054951,-92.765915,412,MN,3,Acer,rubrum,red maple,Plantae,2979,483,Leaves,2011,5,18,138,2455700,3,2011,10,5,278,2455840,4
11,1597,48.054951,-92.765915,412,MN,3,Acer,rubrum,red maple,Plantae,3017,483,Leaves,2011,5,18,138,2455700,3,2011,10,5,278,2455840,4
12,1605,40.907997,-73.120705,58,NY,3,Acer,rubrum,red maple,Plantae,3031,483,Leaves,2011,5,2,122,2455684,6,2011,11,14,318,2455880,-9999
13,1605,40.907997,-73.120705,58,NY,3,Acer,rubrum,red maple,Plantae,3032,483,Leaves,2011,4,25,115,2455677,26,2011,11,14,318,2455880,-9999
14,1605,40.907997,-73.120705,58,NY,3,Acer,rubrum,red maple,Plantae,3033,483,Leaves,2011,4,26,116,2455678,12,2011,11,14,318,2455880,-9999
15,5509,45.407852,-93.199257,275,MN,3,Acer,rubrum,red maple,Plantae,3187,483,Leaves,2011,5,10,130,2455692,4,2011,10,7,280,2455842,3
16,5509,45.407852,-93.199257,275,MN,3,Acer,rubrum,red maple,Plantae,3188,483,Leaves,2011,5,20,140,2455702,4,2011,10,7,280,2455842,3
17,1668,40.866283,-73.875717,21,NY,3,Acer,rubrum,red maple,Plantae,3227,483,Leaves,2011,4,28,118,2455680,6,2011,4,28,118,2455680,-9999
18,1668,40.866283,-73.875717,21,NY,3,Acer,rubrum,red maple,Plantae,3228,483,Leaves,2011,4,28,118,2455680,6,2011,4,28,118,2455680,-9999
19,1829,46.245239,-91.803795,316,WI,3,Acer,rubrum,red maple,Plantae,3598,483,Leaves,2011,5,25,145,2455707,-9999,2011,5,25,145,2455707,-9999
20,2394,45.425339,-93.186249,280,MN,3,Acer,rubrum,red maple,Plantae,3813,483,Leaves,2011,5,10,130,2455692,4,2011,9,30,273,2455835,3
21,1915,41.78344,-73.732552,128,NY,3,Acer,rubrum,red maple,Plantae,3991,483,Leaves,2011,4,27,117,2455679,5,2011,10,29,302,2455864,3
22,2119,40.862221,-73.875191,26,NY,3,Acer,rubrum,red maple,Plantae,4341,483,Leaves,2011,4,22,112,2455674,16,2011,4,22,112,2455674,-9999
23,2119,40.862221,-73.875191,26,NY,3,Acer,rubrum,red maple,Plantae,4342,483,Leaves,2011,4,16,106,2455668,10,2011,4,16,106,2455668,-9999
24,2390,42.382767,-85.343567,280,MI,3,Acer,rubrum,red maple,Plantae,5016,483,Leaves,2011,5,1,121,2455683,8,2011,10,24,297,2455859,-9999
25,2395,45.402004,-93.204147,277,MN,3,Acer,rubrum,red maple,Plantae,5115,483,Leaves,2011,5,16,136,2455698,6,2011,10,3,276,2455838,4
26,2410,47.515331,-93.470726,424,MN,3,Acer,rubrum,red maple,Plantae,5182,483,Leaves,2011,5,23,143,2455705,20,2011,5,23,143,2455705,8
27,2410,47.515331,-93.470726,424,MN,3,Acer,rubrum,red maple,Plantae,5183,483,Leaves,2011,5,23,143,2455705,20,2011,5,31,151,2455713,7
28,2314,42.300529,-70.929413,10,MA,3,Acer,rubrum,red maple,Plantae,6585,483,Leaves,2011,7,17,198,2455760,-9999,2011,7,17,198,2455760,-9999
29,2314,42.300529,-70.929413,10,MA,3,Acer,rubrum,red maple,Plantae,6587,483,Leaves,2011,7,17,198,2455760,-9999,2011,7,17,198,2455760,-9999
30,2317,42.267677,-70.921326,2,MA,3,Acer,rubrum,red maple,Plantae,6588,483,Leaves,2011,5,21,141,2455703,-9999,2011,6,26,177,2455739,-9999
31,2317,42.267677,-70.921326,2,MA,3,Acer,rubrum,red maple,Plantae,6589,483,Leaves,2011,5,21,141,2455703,-9999,2011,9,4,247,2455809,-9999
32,4846,41.437077,-81.864555,228,OH,3,Acer,rubrum,red maple,Plantae,8338,483,Leaves,2011,5,13,133,2455695,6,2011,10,16,289,2455851,52
33,4881,28.045185,-82.706299,3,FL,3,Acer,rubrum,red maple,Plantae,8499,483,Leaves,2011,2,13,44,2455606,9,2011,2,18,49,2455611,7
34,4881,28.045185,-82.706299,3,FL,3,Acer,rubrum,red maple,Plantae,8499,483,Leaves,2011,4,29,119,2455681,63,2011,12,23,357,2455919,-9999
35,4881,28.045185,-82.706299,3,FL,3,Acer,rubrum,red maple,Plantae,8500,483,Leaves,2011,2,25,56,2455618,7,2011,12,23,357,2455919,-9999
36,5099,35.260696,-97.486832,360,OK,3,Acer,rubrum,red maple,Plantae,9675,483,Leaves,2011,4,14,104,2455666,47,2011,11,17,321,2455883,11
37,5206,36.902622,-76.206039,3,VA,3,Acer,rubrum,red maple,Plantae,10207,483,Leaves,2011,4,15,105,2455667,35,2011,12,19,353,2455915,-9999
38,5207,36.904579,-76.19651,2,VA,3,Acer,rubrum,red maple,Plantae,10218,483,Leaves,2011,3,29,88,2455650,8,2011,11,11,315,2455877,10
39,5208,36.90799,-76.196022,1,VA,3,Acer,rubrum,red maple,Plantae,10222,483,Leaves,2011,3,21,80,2455642,10,2011,12,12,346,2455908,7
40,5116,34.928726,-79.782715,84,NC,3,Acer,rubrum,red maple,Plantae,10444,483,Leaves,2011,3,10,69,2455631,-9999,2011,3,10,69,2455631,4
41,5116,34.928726,-79.782715,84,NC,3,Acer,rubrum,red maple,Plantae,10444,483,Leaves,2011,3,16,75,2455637,1,2011,6,1,152,2455714,-9999
42,5286,29.792919,-90.124512,0,LA,3,Acer,rubrum,red maple,Plantae,10468,483,Leaves,2011,3,13,72,2455634,-9999,2011,3,13,72,2455634,-9999
43,5286,29.792919,-90.124512,0,LA,3,Acer,rubrum,red maple,Plantae,10503,483,Leaves,2011,3,13,72,2455634,-9999,2011,3,13,72,2455634,-9999
44,5286,29.792919,-90.124512,0,LA,3,Acer,rubrum,red maple,Plantae,10504,483,Leaves,2011,3,13,72,2455634,-9999,2011,3,13,72,2455634,-9999
45,5293,37.600105,-77.48278,44,VA,3,Acer,rubrum,red maple,Plantae,10518,483,Leaves,2011,4,21,111,2455673,37,2011,11,3,307,2455869,8
46,5281,40.710247,-77.956192,368,PA,3,Acer,rubrum,red maple,Plantae,10791,483,Leaves,2011,4,28,118,2455680,7,2011,8,21,233,2455795,-9999
47,5418,43.705055,-70.61145,73,ME,3,Acer,rubrum,red maple,Plantae,11309,483,Leaves,2011,5,4,124,2455686,2,2011,6,20,171,2455733,-9999
48,5431,35.517879,-82.469681,786,NC,3,Acer,rubrum,red maple,Plantae,11410,483,Leaves,2011,4,13,103,2455665,-9999,2011,4,13,103,2455665,-9999
49,5456,43.858559,-70.152802,40,ME,3,Acer,rubrum,red maple,Plantae,11449,483,Leaves,2011,6,9,160,2455722,39,2011,6,9,160,2455722,-9999
50,5434,43.631012,-70.406815,30,ME,3,Acer,rubrum,red maple,Plantae,11466,483,Leaves,2011,5,10,130,2455692,7,2011,5,16,136,2455698,-9999
51,5477,44.050777,-69.432732,51,ME,3,Acer,rubrum,red maple,Plantae,11640,483,Leaves,2011,5,18,138,2455700,5,2011,6,6,157,2455719,-9999
52,5450,43.775196,-70.332611,113,ME,3,Acer,rubrum,red maple,Plantae,11661,483,Leaves,2011,5,8,128,2455690,8,2011,9,17,260,2455822,-9999
53,5450,43.775196,-70.332611,113,ME,3,Acer,rubrum,red maple,Plantae,11663,483,Leaves,2011,5,8,128,2455690,8,2011,9,17,260,2455822,-9999
54,5485,43.672104,-70.443047,69,ME,3,Acer,rubrum,red maple,Plantae,11678,483,Leaves,2011,5,3,123,2455685,5,2011,5,3,123,2455685,-9999
